,sizer,sizec,goea_nsig,goea_bestp
283,634,3,24,1.6024081363913867e-26
284,632,3,18,1.2896672646034199e-26
285,636,3,25,7.339675146455513e-27
286,634,3,22,3.9817387997570665e-27
287,639,3,33,4.1760252954814326e-27
288,642,3,32,1.6824368092809407e-28
289,632,3,34,2.79234229595709e-28
290,635,3,31,3.352607639324212e-27
291,633,3,22,1.1548065075667684e-25
292,631,3,28,6.360507251366578e-26
293,636,3,34,6.592711266267921e-26
294,640,3,36,1.906111640003491e-27
295,632,3,31,1.0848638387275084e-26
296,631,3,25,2.551823541618941e-27
297,635,3,35,9.758681948969003e-28
298,639,3,37,2.5142261102037627e-29
299,633,3,35,7.339675146455513e-27
300,637,3,36,1.992438312195354e-28
301,638,3,20,4.611830572180887e-30
302,636,3,20,3.612764690433394e-30
303,631,3,21,3.323669360794108e-30
304,633,3,21,6.420088434082693e-31
305,632,3,21,2.2152212307399053e-28
306,640,3,22,8.819757015768824e-30
307,639,3,21,1.3226957137351133e-29
308,635,3,23,2.3394003379570203e-29
309,636,3,22,6.928028918931061e-30
310,631,3,23,4.2530297095757985e-30
311,638,3,20,1.3226957137351133e-29
312,639,3,20,1.0582291470762803e-30
313,641,3,21,1.1209210914163652e-29
314,649,3,20,4.314448131659629e-31
315,647,3,17,9.77850355265481e-31
316,644,3,21,3.3204299013952105e-30
317,647,3,18,6.497377834435475e-31
318,642,3,19,1.1512831547878419e-30
319,640,3,21,2.604591815648237e-30
320,638,3,20,4.6522812172455495e-31
321,635,3,19,6.566439821755215e-28
322,637,3,17,1.0608963664247824e-28
323,641,3,19,4.671547907503151e-28
324,649,3,21,1.926787659003756e-29
325,648,3,20,2.876857435140377e-29
326,645,3,21,9.537943974744954e-29
327,649,3,24,1.926787659003756e-29
328,645,3,21,2.278436308385673e-29
329,644,3,27,3.4030791226599675e-29
330,642,3,23,6.337073658928036e-30
331,631,3,28,3.50505503565751e-29
332,632,3,27,9.758681948969003e-28
333,636,3,26,6.566439821755215e-28
334,638,3,22,1.0608963664247824e-28
335,643,3,24,3.143368936344968e-28
336,651,3,27,8.626052543857855e-30
337,650,3,26,1.2896290070690592e-29
338,647,3,27,4.292569088556804e-29
339,651,3,35,8.626052543857855e-30
340,648,3,33,6.81118202749501e-30
341,648,3,42,6.81118202749501e-30
342,646,3,43,1.24832475934506e-30
343,635,3,40,4.611830572180887e-30
344,635,3,34,1.992438312195354e-28
345,633,3,22,6.646643213081123e-29
346,638,3,21,8.819757015768824e-30
347,643,3,24,2.693588218913882e-29
348,651,3,28,7.048132773781393e-31
349,650,3,31,1.059264223201321e-30
350,649,3,26,1.5909471085628987e-30
351,654,3,42,2.068330057259467e-31
352,650,3,36,2.4338417673639263e-31
353,653,3,44,2.068330057259467e-31
354,651,3,44,3.6496316932677613e-32
355,640,3,43,1.349595302943382e-31
356,640,3,36,6.337073658928036e-30
357,632,3,37,5.624513342487818e-29
358,631,3,22,1.4840114162211988e-28
359,634,3,18,1.5603652513728177e-29
360,641,3,23,3.183578511306672e-29
361,649,3,26,8.303016332461614e-31
362,648,3,26,1.24832475934506e-30
363,647,3,24,1.875597536004548e-30
364,653,3,36,1.6146983162660688e-31
365,650,3,36,1.2584162194382654e-31
366,654,3,45,7.093577387131683e-32
367,653,3,44,1.2338675117383508e-32
368,643,3,42,3.00954004730452e-32
369,644,3,34,9.77850355265481e-31
370,638,3,31,1.1209210914163652e-29
371,631,3,31,5.2313701315863855e-28
372,635,3,21,1.0848638387275084e-26
373,642,3,22,1.6824368092809407e-28
374,641,3,22,2.5045637630046093e-28
375,640,3,21,3.725925070682832e-28
376,646,3,27,3.4030791226599675e-29
377,644,3,26,1.801596502339336e-29
378,648,3,35,1.0193214421234695e-29
379,649,3,32,8.303016332461614e-31
380,639,3,37,1.3550760364661507e-30
381,641,3,33,2.693588218913882e-29
382,635,3,32,1.0608963664247824e-28
383,637,3,20,4.415445404500008e-28
384,635,3,19,3.5141363319627207e-28
385,635,3,19,9.758681948969003e-28
386,641,3,27,8.966650711778375e-29
387,639,3,26,4.758352139938897e-29
388,644,3,36,5.079497834552679e-29
389,647,3,34,1.875597536004548e-30
390,638,3,35,2.039620511249291e-30
391,641,3,29,2.693588218913882e-29
392,635,3,32,1.0608963664247824e-28
393,634,3,19,7.339675146455513e-27
394,633,3,20,3.9817387997570665e-27
395,633,3,20,1.0848638387275084e-26
396,639,3,25,1.0297069605648276e-27
397,637,3,28,5.539159108443822e-28
398,642,3,37,5.8480777323472155e-28
399,646,3,35,1.5244608607935768e-29
400,637,3,35,5.8771686956286594e-30
401,639,3,34,6.009225987137017e-29
402,634,3,34,1.5825096278790573e-28
403,637,3,35,1.9823355201930746e-29
404,637,3,35,1.3226957137351133e-29
405,642,3,41,1.422239630092162e-29
406,646,3,41,3.36701825294396e-31
407,636,3,43,9.494466725426431e-32
408,638,3,44,1.0582291470762803e-30
409,634,3,43,5.432832460487513e-30
410,633,3,27,6.646643213081123e-29
411,636,3,31,1.0608963664247824e-28
412,641,3,39,1.12941905683061e-28
413,645,3,40,2.8162497450995375e-30
414,636,3,38,5.466036046875728e-31
415,638,3,40,5.8771686956286594e-30
416,632,3,38,6.646643213081123e-29
417,632,3,24,3.9817387997570665e-27
418,635,3,29,9.124061091587337e-27
419,639,3,30,2.5045637630046093e-28
420,631,3,29,3.50505503565751e-29
421,634,3,27,2.3590034460838365e-28
422,631,3,23,7.85249209189354e-29
423,639,3,22,3.0679827687869414e-30
424,636,3,26,3.612764690433394e-30
425,631,3,25,3.323669360794108e-30
426,634,3,23,4.249298032229221e-31
427,634,3,26,2.79234229595709e-28
428,642,3,27,1.1209210914163652e-29
429,640,3,23,2.5142261102037627e-29
430,636,3,24,4.4437473378178435e-29
431,638,3,23,8.819757015768824e-30
432,633,3,29,5.432832460487513e-30
433,632,3,28,6.646643213081123e-29
434,631,3,29,8.164469952563033e-30
435,641,3,20,1.1209210914163652e-29
436,642,3,19,8.996979918057081e-31
437,646,3,23,1.2041995785858032e-29
438,654,3,23,4.686687330944737e-31
439,651,3,21,1.5909471085628987e-30
440,648,3,23,5.3694280057701486e-30
441,652,3,18,7.048132773781393e-31
442,647,3,22,1.24832475934506e-30
443,645,3,22,2.8162497450995375e-30
444,643,3,25,5.075784402963363e-31
445,632,3,29,2.8252642107952954e-30
446,631,3,25,2.3394003379570203e-29
447,639,3,19,3.725925070682832e-28
448,640,3,19,3.183578511306672e-29
449,646,3,21,1.783389794237937e-28
450,653,3,21,1.0906974011709544e-29
451,651,3,20,2.431412168066784e-29
452,648,3,20,8.052909027406252e-29
453,653,3,19,1.0906974011709544e-29
454,649,3,21,1.2896290070690592e-29
455,648,3,25,1.926787659003756e-29
456,646,3,25,3.581941887361556e-30
457,635,3,28,1.9823355201930746e-29
458,636,3,28,5.539159108443822e-28
459,640,3,24,3.725925070682832e-28
460,641,3,20,3.183578511306672e-29
461,648,3,29,1.1987918349837425e-28
462,655,3,30,4.879989774584262e-30
463,653,3,28,1.0906974011709544e-29
464,651,3,26,6.797516739844772e-29
465,656,3,31,9.222229092727454e-30
466,653,3,33,7.297977322028753e-30
467,653,3,42,7.297977322028753e-30
468,651,3,42,1.3491215214451537e-30
469,640,3,40,4.984307724412727e-30
470,640,3,34,2.113676623520179e-28
471,632,3,32,1.812630079954848e-27
472,637,3,22,3.761739477374385e-29
473,641,3,20,2.604591815648237e-30
474,648,3,28,1.0193214421234695e-29
475,655,3,32,3.9786979309611656e-31
476,653,3,32,8.985840272475988e-31
477,653,3,27,2.571352590927791e-30
478,659,3,38,2.245578640199881e-31
479,655,3,37,2.64494983904658e-31
480,658,3,42,2.245578640199881e-31
481,656,3,48,3.9979110027623877e-32
482,645,3,44,1.4787621012108625e-31
483,645,3,42,6.81118202749501e-30
484,637,3,35,6.009225987137017e-29
485,635,3,20,8.404116361163938e-29
486,637,3,19,4.611830572180887e-30
487,646,3,24,1.2041995785858032e-29
488,653,3,32,4.686687330944737e-31
489,651,3,31,1.059264223201321e-30
490,651,3,26,3.0352764466431354e-30
491,658,3,33,1.757189808775817e-31
492,655,3,38,1.372725239441056e-31
493,660,3,45,5.133102400369131e-32
494,659,3,47,8.974993902800732e-33
495,649,3,43,2.1917680120201578e-32
496,650,3,43,7.048132773781393e-31
497,644,3,34,8.04368369858334e-30
498,637,3,38,1.337065542467332e-28
499,637,3,28,1.6793173809978553e-29
500,631,3,15,1.7188449893427227e-27
501,641,3,23,2.8223049240648714e-27
502,647,3,25,6.400733674757486e-29
503,645,3,22,1.4203368484617202e-28
504,645,3,21,3.9389633260493663e-28
505,652,3,25,2.431412168066784e-29
506,650,3,28,1.2896290070690592e-29
507,655,3,36,4.879989774584262e-30
508,656,3,38,3.9786979309611656e-31
509,646,3,40,6.497377834435475e-31
510,648,3,35,1.2896290070690592e-29
511,642,3,33,5.079497834552679e-29
512,634,3,33,1.2217500933343605e-27
513,634,3,26,1.5825096278790573e-28
514,637,3,25,4.9622540384323285e-27
515,643,3,24,1.12941905683061e-28
516,640,3,23,1.337065542467332e-28
517,641,3,21,6.937993729733131e-28
518,648,3,32,4.292569088556804e-29
519,646,3,34,2.278436308385673e-29
520,652,3,43,1.6290082500016802e-29
521,655,3,43,5.981200429583728e-31
522,646,3,39,6.497377834435475e-31
523,649,3,36,8.626052543857855e-30
524,643,3,34,3.4030791226599675e-29
525,635,3,27,8.229250132184757e-28
526,637,3,24,4.758352139938897e-29
527,634,3,25,7.855805866700664e-26
528,640,3,23,1.906111640003491e-27
529,638,3,21,1.5272109916090176e-27
530,639,3,19,7.672156427947367e-27
531,646,3,30,4.928320988374986e-28
532,644,3,34,2.651302755236477e-28
533,650,3,43,1.884949028600787e-28
534,654,3,40,4.879989774584262e-30
535,645,3,39,1.875597536004548e-30
536,647,3,37,1.926787659003756e-29
537,642,3,37,5.079497834552679e-29
538,634,3,34,1.2217500933343605e-27
539,635,3,27,1.0608963664247824e-28
540,631,3,30,7.00241201137641e-27
541,637,3,26,1.5825096278790573e-28
542,637,3,25,1.5825096278790573e-28
543,638,3,26,8.229250132184757e-28
544,646,3,40,3.4030791226599675e-29
545,646,3,41,2.278436308385673e-29
546,652,3,45,1.6290082500016802e-29
547,656,3,45,3.9786979309611656e-31
548,646,3,46,1.1496800530761196e-31
549,648,3,46,1.24832475934506e-30
550,644,3,46,6.337073658928036e-30
551,634,3,43,1.254899773670611e-28
552,635,3,36,1.040066221085363e-29
553,632,3,22,7.782481411532523e-28
554,633,3,17,5.2313701315863855e-28
555,634,3,19,2.6874454157928835e-27
556,642,3,26,1.12941905683061e-28
557,646,3,33,1.1987918349837425e-28
558,652,3,40,8.533995393702443e-29
559,656,3,41,2.177759636852059e-30
560,647,3,40,4.314448131659629e-31
561,649,3,39,4.548322011840213e-30
562,643,3,37,5.079497834552679e-29
563,633,3,37,9.758681948969003e-28
564,635,3,30,5.624513342487818e-29
565,638,3,23,4.1760252954814326e-27
566,642,3,27,4.367839963972897e-27
567,646,3,31,6.719745182508035e-27
568,650,3,32,1.884949028600787e-28
569,642,3,32,2.693588218913882e-29
570,645,3,31,1.783389794237937e-28
571,639,3,30,5.193831661711606e-27
572,634,3,27,1.812630079954848e-27
573,633,3,28,1.347261845696312e-26
574,637,3,32,2.0685523230101644e-26
575,642,3,31,3.9389633260493663e-28
576,635,3,31,3.761739477374385e-29
577,638,3,31,2.5045637630046093e-28
578,633,3,29,4.9622540384323285e-27
579,634,3,37,1.2217500933343605e-27
580,634,3,30,6.420088434082693e-31
581,631,3,29,7.5382372732998195e-31
582,637,3,28,2.4008722697309182e-30
583,635,3,26,5.432832460487513e-30
584,632,3,24,1.8402320469272892e-29
585,634,3,22,3.612764690433394e-30
586,635,3,26,3.612764690433394e-30
587,636,3,22,2.8106931958415178e-31
588,640,3,26,3.9137719861798754e-30
589,649,3,28,9.790631163882305e-32
590,646,3,25,3.36701825294396e-31
591,644,3,24,2.210555554260519e-30
592,648,3,23,2.863088108696623e-31
593,644,3,25,3.36701825294396e-31
594,643,3,24,1.4707103445626663e-30
595,642,3,27,2.623120228510137e-31
596,631,3,26,1.4626655474345957e-30
597,631,3,25,1.226150410663138e-29
598,633,3,24,1.254899773670611e-28
599,634,3,20,1.040066221085363e-29
600,640,3,26,6.009225987137017e-29
601,648,3,23,2.3879622815308024e-30
602,646,3,24,5.3694280057701486e-30
603,644,3,22,3.4030791226599675e-29
604,649,3,24,4.548322011840213e-30
605,646,3,25,3.581941887361556e-30
606,646,3,34,1.0193214421234695e-29
607,645,3,28,1.875597536004548e-30
608,634,3,27,1.040066221085363e-29
609,636,3,27,2.9670565499351624e-28
610,634,3,24,4.4437473378178435e-29
611,635,3,23,3.612764690433394e-30
612,642,3,28,1.422239630092162e-29
613,650,3,35,3.6662100933599926e-31
614,648,3,30,8.303016332461614e-31
615,647,3,27,1.0193214421234695e-29
