,sizer,sizec,goea_nsig,goea_bestp
0,655,3,23,9.200406322142561e-10
1,655,3,28,1.2343719784732619e-09
2,655,3,24,4.706112404595511e-13
3,656,3,30,6.254999695622301e-13
4,654,3,35,9.112743237280077e-08
5,656,3,23,5.656732074734073e-14
6,656,3,28,7.168992673453609e-14
7,655,3,32,1.736689990805438e-07
8,655,3,30,9.926867964384107e-08
9,653,3,30,3.939904177876471e-10
10,658,3,24,7.603862785020208e-14
11,660,3,30,1.0186957751298368e-13
12,654,3,30,5.275443132820323e-13
13,655,3,30,4.196004981854888e-13
14,653,3,28,3.352711130624578e-12
15,656,3,29,1.0800553147609105e-08
16,659,3,31,1.1833354873783976e-08
17,657,3,31,6.732790339101662e-08
18,656,3,35,4.5499692255516215e-11
19,659,3,39,5.5888546056339266e-11
20,653,3,30,1.3122018045803166e-07
21,654,3,29,6.948826135524854e-08
22,656,3,29,4.5616490817149907e-10
23,656,3,39,9.61076056208394e-14
24,653,3,32,4.4440400720297123e-13
25,654,3,31,4.177342623409429e-12
26,653,3,29,9.853649249213275e-09
27,656,3,29,1.0316800106513672e-08
28,653,3,30,5.650621056158456e-08
29,655,3,32,4.102450579918196e-11
30,660,3,36,5.881989586655091e-11
31,656,3,35,3.0792701428248077e-10
32,659,3,34,3.0792701428248077e-10
33,655,3,34,2.6523461490580843e-10
34,653,3,36,5.629803777390464e-09
35,658,3,29,5.629803777390464e-09
36,665,3,31,1.1757059163401688e-09
37,667,3,33,1.4980929520835193e-09
38,659,3,34,4.9077818828310996e-09
39,661,3,37,2.47916528878684e-09
40,656,3,37,2.2720232714590047e-08
41,657,3,29,3.9546405437727534e-12
42,661,3,30,3.743335959216725e-12
43,668,3,30,7.002574139113967e-13
44,671,3,35,8.762946157268393e-13
45,664,3,35,4.177342623409429e-12
46,666,3,34,4.177342623409429e-12
47,664,3,33,3.3303453062153686e-11
48,655,3,30,2.0684290408634895e-11
49,661,3,33,1.2959379816071301e-08
50,658,3,35,1.1305772153609685e-08
51,657,3,35,1.6235757743927653e-08
52,653,3,33,7.344714417696406e-08
53,654,3,28,4.4440400720297123e-13
54,661,3,30,4.706112404595511e-13
55,669,3,28,8.06402882604301e-14
56,671,3,34,9.61076056208394e-14
57,664,3,34,4.98298079409416e-13
58,668,3,35,5.275443132820323e-13
59,667,3,33,4.6593115952700245e-12
60,661,3,30,3.172350999003088e-12
61,664,3,33,1.996222751403742e-09
62,662,3,37,1.8148722571542527e-09
63,660,3,37,9.853649249213275e-09
64,654,3,35,1.772377655809905e-10
65,656,3,37,4.6593115952700245e-12
66,655,3,36,4.919837534821857e-12
67,659,3,33,1.0809414546981077e-07
68,658,3,34,9.511574640616563e-08
69,655,3,33,3.5712321345546164e-10
70,653,3,29,5.275443132820323e-13
71,661,3,28,5.910548172859188e-13
72,671,3,31,1.1440542704559498e-13
73,675,3,37,1.4406934384865508e-13
74,669,3,39,7.407796571573088e-13
75,672,3,40,7.002574139113967e-13
76,671,3,35,5.787793804647721e-12
77,666,3,33,4.177342623409429e-12
78,653,3,33,2.1819223135744635e-11
79,655,3,29,2.9984513110684873e-11
80,653,3,35,1.2958166004740114e-09
81,668,3,33,2.5280194797281077e-09
82,670,3,36,2.6494325246358792e-09
83,669,3,35,1.552336615963399e-08
84,664,3,34,3.0792701428248077e-10
85,667,3,40,8.878397667228644e-12
86,668,3,42,9.868837522399174e-12
87,657,3,30,5.787793804647721e-12
88,653,3,32,4.919837534821857e-12
89,655,3,34,6.561009022901583e-08
90,655,3,41,5.846410915084368e-08
91,656,3,34,3.7512528521164575e-10
92,657,3,32,7.603862785020208e-14
93,668,3,40,1.52413507635264e-14
94,675,3,46,2.052445654431135e-14
95,669,3,42,1.0796277867589256e-13
96,673,3,40,1.0796277867589256e-13
97,675,3,35,1.0943666814256664e-12
98,670,3,36,7.835464576168407e-13
99,659,3,34,4.6593115952700245e-12
100,663,3,31,5.787793804647721e-12
101,666,3,33,2.411909080479078e-09
102,669,3,34,2.5280194797281077e-09
103,669,3,34,2.5280194797281077e-09
104,666,3,31,5.0439148619566494e-11
105,669,3,34,1.291154604098544e-12
106,672,3,39,1.6966920031581987e-12
107,660,3,30,9.265316546725828e-13
108,657,3,34,8.286765414356148e-13
109,657,3,33,9.991266697685126e-15
110,660,3,28,5.656732074734073e-14
111,665,3,26,6.618667091178558e-13
112,659,3,29,4.706112404595511e-13
113,654,3,21,3.5428702987225015e-12
114,656,3,31,1.0800553147609105e-08
